Sporting Blood,1931,301,6,tt0022425
Strangers May Kiss,1931,421,6,tt0022435
Street Scene,1931,1612,7,tt0022436
Susan Lenox <Her Fall and Rise,1931,1097,6,tt0022453
Ten Cents a Dance,1931,668,6,tt0022469
This Modern Age,1931,416,5,tt0022478
The Tip-Off,1931,228,5,tt0022484
Tonight or Never,1931,1337,6,tt0022489
Transatlantic,1931,165,6,tt0022500
The Unholy Garden,1931,222,6,tt0022523
Waterloo Bridge,1931,2455,7,tt0022550
Way Back Home,1931,650,6,tt0022551
A Woman of Experience,1931,163,6,tt0022572
The Yellow Ticket,1931,167,6,tt0022582
Air Mail,1932,389,6,tt0022615
American Madness,1932,1833,7,tt0022626
The Animal Kingdom,1932,1019,6,tt0022628
Arsene Lupin,1932,986,6,tt0022639
As You Desire Me,1932,592,6,tt0022641
Back Street,1932,649,7,tt0022651
The Beast of the City,1932,1171,6,tt0022660
Behind the Mask,1932,235,6,tt0022663
The Big Broadcast,1932,200,6,tt0022675
Big City Blues,1932,650,6,tt0022676
The Big Stampede,1932,480,5,tt0022681
A Bill of Divorcement,1932,1523,6,tt0022685
Blonde Venus,1932,4498,7,tt0022698
Blondie of the Follies,1932,1158,6,tt0022700
Broken Lullaby,1932,874,7,tt0022725
#NAME?,1932,231,5,tt0022731
The Cabin in the Cotton,1932,1456,6,tt0022735
Carnival Boat,1932,286,5,tt0022748
Central Park,1932,339,6,tt0022751
The Crooked Circle,1932,281,5,tt0022788
The Crowd Roars,1932,1143,6,tt0022792
The Dark Horse,1932,1049,7,tt0022802
Devil and the Deep,1932,491,6,tt0022814
Doctor X,1932,2870,6,tt0022827
Dr. Jekyll and Mr. Hyde,1931,12683,7,tt0022835
Emma,1932,915,7,tt0022854
Ecstasy,1933,2194,6,tt0022867
F.P.1 Doesn't Answer,1932,206,6,tt0022869
Faithless,1932,483,6,tt0022873
The Famous Ferguson Case,1932,275,6,tt0022876
A Farewell to Arms,1932,5192,6,tt0022879
Flesh,1932,516,6,tt0022897
Forbidden,1932,1317,6,tt0022905
Grand Hotel,1932,17536,7,tt0022958
The Greeks Had a Word for Them,1932,374,6,tt0022961
The Hatchet Man,1932,742,6,tt0022979
Haunted Gold,1932,612,5,tt0022981
Hell Divers,1931,514,6,tt0022987
Hell's House,1932,1096,6,tt0022991
High Pressure,1932,479,6,tt0023007
Hold 'Em Jail,1932,205,6,tt0023013
Horse Feathers,1932,11883,7,tt0023027
Hot Saturday,1932,927,6,tt0023028
The Hurricane Express,1932,505,5,tt0023038
If I Had a Million,1932,1620,7,tt0023049
The Impatient Maiden,1932,158,6,tt0023055
Is My Face Red?,1932,157,6,tt0023066
Jewel Robbery,1932,1862,7,tt0023074
The Kid from Spain,1932,486,6,tt0023088
Lady and Gent,1932,144,6,tt0023109
Law and Order,1932,271,6,tt0023121
Lawyer Man,1932,783,6,tt0023125
Letty Lynton,1932,417,6,tt0023132
Life Begins,1932,365,6,tt0023139
The Lost Squadron,1932,650,6,tt0023151
Love Affair,1932,402,5,tt0023153
Love Me Tonight,1932,3634,7,tt0023158
Lovers Courageous,1932,134,6,tt0023162
Madame Butterfly,1932,311,6,tt0023169
Make Me a Star,1932,475,6,tt0023175
The Man Who Played God,1932,934,7,tt0023181
Manhattan Tower,1932,162,6,tt0023187
The Mask of Fu Manchu,1932,3093,6,tt0023194
Mata Hari,1931,3339,6,tt0023196
Me and My Gal,1932,849,6,tt0023202
Men of Chance,1931,162,6,tt0023209
Merrily We Go to Hell,1932,1034,6,tt0023213
Million Dollar Legs,1932,1066,6,tt0023225
The Miracle Man,1932,129,6,tt0023228
Miss Pinkerton,1932,462,6,tt0023230
The Most Dangerous Game,1932,10806,7,tt0023238
The Mouthpiece,1932,459,7,tt0023240
Movie Crazy,1932,1403,7,tt0023241
The Mummy,1932,23922,7,tt0023245
New Morals for Old,1932,183,5,tt0023262
Night After Night,1932,634,6,tt0023266
Night World,1932,324,6,tt0023271
No Man of Her Own,1932,1072,6,tt0023277
No More Orchids,1932,304,6,tt0023278
The Old Dark House,1932,9584,7,tt0023293
Once in a Lifetime,1932,163,6,tt0023302
One Way Passage,1932,3423,7,tt0023305
The Passionate Plumber,1932,446,5,tt0023322
Payment Deferred,1932,518,6,tt0023326
The Phantom President,1932,130,5,tt0023334
Play Girl,1932,255,5,tt0023342
Polly of the Circus,1932,1059,6,tt0023349
The Purchase Price,1932,1399,6,tt0023362
Rain,1932,2405,6,tt0023369
Rasputin and the Empress,1932,933,6,tt0023374
Red Dust,1932,3867,7,tt0023382
Red-Haired Alibi,1932,180,5,tt0023384
Red-Headed Woman,1932,2753,7,tt0023385
The Rich Are Always with Us,1932,912,6,tt0023394
"Ride Him, Cowboy",1932,570,5,tt0023396
Roar of the Dragon,1932,205,6,tt0023407
Scarface,1932,25597,7,tt0023427
Reserved for Ladies,1932,110,6,tt0023455
The Shadow of the Eagle,1932,334,5,tt0023456
Shanghai Express,1932,7831,7,tt0023458
Shopworn,1932,637,6,tt0023464
The Sign of the Cross,1932,2041,6,tt0023470
Silver Dollar,1932,331,6,tt0023472
Sinners in the Sun,1932,253,6,tt0023479
Skyscraper Souls,1932,705,7,tt0023486
Smilin' Through,1932,1188,6,tt0023488
So Big!,1932,1402,6,tt0023491
Speak Easily,1932,929,5,tt0023498
Strange Interlude,1932,674,5,tt0023523
Strange Justice,1932,129,5,tt0023524
Strangers in Love,1932,102,7,tt0023527
Strangers of the Evening,1932,187,5,tt0023528
Street of Women,1932,260,6,tt0023529
A Successful Calamity,1932,404,6,tt0023537
Symphony of Six Million,1932,359,6,tt0023545
Tarzan the Ape Man,1932,7041,7,tt0023551
Taxi!,1931,1172,6,tt0023556
The Tenderfoot,1932,356,5,tt0023560
Texas Cyclone,1932,304,6,tt0023567
That's My Boy,1932,102,5,tt0023576
There Goes the Bride,1932,133,6,tt0023580
They Call It Sin,1932,571,6,tt0023581
Thirteen Women,1932,1166,6,tt0023582
The Thirteenth Guest,1932,692,5,tt0023583
This Is the Night,1932,562,6,tt0023584
Three Wise Girls,1932,543,6,tt0023589
Three on a Match,1932,3439,7,tt0023590
Tiger Shark,1932,835,6,tt0023594
Tom Brown of Culver,1932,122,6,tt0023601
Two Seconds,1932,1024,6,tt0023629
Two-Fisted Law,1932,355,5,tt0023631
Union Depot,1932,921,7,tt0023642
Vanity Fair,1932,274,5,tt0023652
Virtue,1932,645,6,tt0023659
Week-End Marriage,1932,254,5,tt0023677
West of Broadway,1931,568,6,tt0023681
Westward Passage,1932,262,5,tt0023684
The Wet Parade,1932,433,6,tt0023685
Winner Take All,1932,477,6,tt0023701
You Said a Mouthful,1932,369,6,tt0023716
Young America,1932,199,6,tt0023719
"20,000 Years in Sing Sing",1932,2424,6,tt0023731
Ace of Aces,1933,333,6,tt0023737
Adorable,1933,105,5,tt0023740
